University Name,description,Link,web_address,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,overall_score,image_url,Country
American University of Sharjah,"The American University of Sharjah  is a private university in Sharjah, United Arab Emirates. It was founded in 1997 by Sultan bin Muhammad Al-Qasimi, Supreme Council Member and Ruler of Sharjah. Located in",http://www.aus.edu/,https://www.timeshighereducation.com/world-university-rankings/american-university-sharjah,19.2,14.8,23,37.5,94.8,22.2,https://upload.wikimedia.org/wikipedia/en/thumb/c/c8/American_University_of_Sharjah_%28emblem%29.png/220px-American_University_of_Sharjah_%28emblem%29.png,United Arab Emirates
Khalifa University,"Khalifa University  is a research, innovation and enterprise-intensive public university located in Abu Dhabi, United Arab Emirates. Khalifa University's current president, His Excellency Professor Ebrahim Al Hajri, was appointed",http://www.kustar.ac.ae/,https://www.timeshighereducation.com/world-university-rankings/khalifa-university,27.7,32.9,54,100,95.4,42.4,https://upload.wikimedia.org/wikipedia/en/thumb/6/6a/KUSTAR_Logo.jpg/200px-KUSTAR_Logo.jpg,United Arab Emirates
United Arab Emirates University,"United Arab Emirates University   is a public research university located in Al Ain, United Arab Emirates. Founded in 1976 by the country's first President, Sheikh Zayed bin Sultan Al Nahyan, it is the",http://www.uaeu.ac.ae/,https://www.timeshighereducation.com/world-university-rankings/united-arab-emirates-university,23.7,19.1,84.7,43.3,91.6,44.5,https://upload.wikimedia.org/wikipedia/en/4/41/United_Arab_Emirates_University_logo.png,United Arab Emirates
University of Sharjah,"The University of Sharjah  is an Emirati private
national university located in University City, Sharjah, United Arab Emirates. It was established in October 1997 by its founder",http://www.sharjah.ac.ae/,https://www.timeshighereducation.com/world-university-rankings/university-sharjah,19.5,11.8,38.8,38.3,99.1,28.3,https://upload.wikimedia.org/wikipedia/en/thumb/f/f6/University_of_Sharjah_Logo.png/220px-University_of_Sharjah_Logo.png,United Arab Emirates
Montanuniversit�t Leoben,"The University of Leoben is a public university in Leoben, Styria, Austria.
It was established on 4 November 1840 as the Steierm�rkisch-St�ndische Montanlehranstalt in Vordernberg,
Styria, Austria's mining region. In 1849, Peter Tunner relocated t",http://www.unileoben.ac.at/,https://www.timeshighereducation.com/world-university-rankings/montanuniversitat-leoben,28.1,11.2,35.6,56.2,70.2,28.3,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Mul-logo_color_hoch_transp.png/220px-Mul-logo_color_hoch_transp.png,Austria
Australian Catholic University,Australian Catholic University  is a public university in Australia. It has seven Australian campuses and also maintains a campus in Rome.,http://www.acu.edu.au/,https://www.timeshighereducation.com/world-university-rankings/australian-catholic-university,20.6,27.5,73.4,39.4,74.3,42.4,https://upload.wikimedia.org/wikipedia/en/thumb/5/5e/Australian_Catholic_University_Coat_of_Arms.png/150px-Australian_Catholic_University_Coat_of_Arms.png,Australia
Australian National University,"The Australian National University  is a public research university and member of the Group of Eight, located in Canberra, the capital of Australia. Its main campus in Acton encompasses seven teaching and research colleges, in addition to severa",http://www.anu.edu.au/,https://www.timeshighereducation.com/world-university-rankings/australian-national-university,54.4,69.7,88.4,46.4,95.5,72.1,https://upload.wikimedia.org/wikipedia/en/thumb/5/5f/Australian_National_University_coat_of_arms.svg/150px-Australian_National_University_coat_of_arms.svg.png,Australia
Bond University,"Bond University is Australia's first private not-for-profit university and is located in Robina on the Gold Coast, Queensland. Since its founding on 15 May 1989, Bond University has primarily been a teaching-focused higher education instituti",http://www.bond.edu.au/,https://www.timeshighereducation.com/world-university-rankings/bond-university,21.1,19.6,64.6,35.9,89.2,38.8,https://upload.wikimedia.org/wikipedia/en/thumb/3/3a/Bond_University_Coat_of_Arms.png/150px-Bond_University_Coat_of_Arms.png,Australia
Central Queensland University,Central Queensland University  is an Australian public university based in central Queensland. CQUniversity is the only Australian university with a campus presence in every mainland state. Its main campus is at Norman Gar,http://www.cqu.edu.au/,https://www.timeshighereducation.com/world-university-rankings/central-queensland-university,16.9,12.9,50.2,36.4,60.4,28.3,https://upload.wikimedia.org/wikipedia/en/thumb/9/91/Central_Queensland_University_%28coat_of_arms%29.png/110px-Central_Queensland_University_%28coat_of_arms%29.png,Australia
Charles Darwin University,"Charles Darwin University  is an Australian public university with a main campus in Darwin and eight satellite campuses in some metropolitan and regional areas. It was established in 2003 after the merger of Northern Territory University, the Me",http://www.cdu.edu.au/,https://www.timeshighereducation.com/world-university-rankings/charles-darwin-university,19.9,24.3,51.4,45.2,81.1,35.3,https://upload.wikimedia.org/wikipedia/en/thumb/4/40/Charles_Darwin_University_Crest.jpg/175px-Charles_Darwin_University_Crest.jpg,Australia
Deakin University,"Deakin University is a public university in Victoria, Australia. Founded in 1974, the university was named after Alfred Deakin, the second Prime Minister of Australia.",http://www.deakin.edu.au/,https://www.timeshighereducation.com/world-university-rankings/deakin-university,23.8,29.6,73.5,40.6,85.2,44.5,https://upload.wikimedia.org/wikipedia/en/thumb/7/74/Deakin_University_Logo_2017.svg/150px-Deakin_University_Logo_2017.svg.png,Australia
Edith Cowan University,"Edith Cowan University  is a public research university in Western Australia. It is named in honour of the first woman to be elected to an Australian parliament, Edith Cowan, and is the only Australian university named after a woman. It",http://www.ecu.edu.au/,https://www.timeshighereducation.com/world-university-rankings/edith-cowan-university,18.7,21.9,67.8,39.1,82.9,38.8,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Edith_Cowan_University_Coat_of_Arms.svg/150px-Edith_Cowan_University_Coat_of_Arms.svg.png,Australia
Griffith University,"Griffith University is a public research university in South East Queensland on the east coast of Australia. The university was founded in 1971, but was not officially opened until 1975. Griffith University is credited with introducing Australia'",http://www.gu.edu.au/,https://www.timeshighereducation.com/world-university-rankings/griffith-university,25.5,32.7,86,42,81.8,50.1,https://upload.wikimedia.org/wikipedia/en/thumb/a/a9/Griffith_University_Logo_Variant_2022.svg/180px-Griffith_University_Logo_Variant_2022.svg.png,Australia
La Trobe University,"La Trobe University is a public research university based in Melbourne, Victoria, Australia. Its main campus is located in the suburb of Bundoora. The university was established in 1964, becoming the third university in the state of Victoria and the",http://www.latrobe.edu.au/,https://www.timeshighereducation.com/world-university-rankings/la-trobe-university,27.1,33.1,73.3,51.3,83.8,46.9,https://upload.wikimedia.org/wikipedia/en/thumb/e/ed/LTU_Armorial_CMYK_small.PNG/150px-LTU_Armorial_CMYK_small.PNG,Australia
Macquarie University,"Macquarie University  is a public research university in Sydney, New South Wales, Australia. Founded in 1964 by the New South Wales Government, it was the third university to be established in the Sydney metropolitan area.",http://www.mq.edu.au/,https://www.timeshighereducation.com/world-university-rankings/macquarie-university,37.8,42.6,71.8,53.1,83.9,50.1,https://upload.wikimedia.org/wikipedia/en/thumb/e/e7/Macquarie_University_Coat_of_Arms.png/150px-Macquarie_University_Coat_of_Arms.png,Australia
Monash University,"Monash University  is a public research university based in Melbourne, Victoria, Australia. Named after World War I general Sir John Monash, it was founded in 1958 and is the second oldest university in the state. The university has a numbe",http://www.monash.edu.au/,https://www.timeshighereducation.com/world-university-rankings/monash-university,47.3,56.6,83.8,67.2,89.9,64.7,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Arms_of_Monash_University.svg/150px-Arms_of_Monash_University.svg.png,Australia
Murdoch University,"Murdoch University is a public university in Perth, Western Australia, with campuses also in Singapore and Dubai. It began operations as the state's second university on 25 July 1973, and accepted its first undergraduate students in 1975. Its name is",http://www.murdoch.edu.au/,https://www.timeshighereducation.com/world-university-rankings/murdoch-university,18.5,24.9,61.9,51,90.8,38.8,https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/Murdoch_University_Crest.png/150px-Murdoch_University_Crest.png,Australia
Queensland University of Technology,"The Queensland University of Technology  is a public research university located in the coastal city of Brisbane in Queensland, Australia. It has two major campuses, a modern city campus in Gardens Point and a historical campus in Kelvin Gro",http://www.qut.edu.au/,https://www.timeshighereducation.com/world-university-rankings/queensland-university-technology,31.9,40.3,86.4,62.4,81.4,55.2,https://upload.wikimedia.org/wikipedia/en/thumb/e/e7/Queensland_University_of_Technology_logo.svg/250px-Queensland_University_of_Technology_logo.svg.png,Australia
Southern Cross University,"Southern Cross University  is an Australian public university, with campuses at Lismore and Coffs Harbour in northern New South Wales, and at Coolangatta, the most southern suburb of the Gold Coast in Queensland. In 2019, it was ranked in the to",http://www.scu.edu.au/,https://www.timeshighereducation.com/world-university-rankings/southern-cross-university,18.5,21.5,49.7,39.8,66.6,28.3,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Southern_Cross_vertical.png/150px-Southern_Cross_vertical.png,Australia
Swinburne University of Technology,"The Swinburne University of Technology  is a public research university in Melbourne, Australia. It is the modern descendant of the Eastern Suburbs Technical College established in 1908, renamed Swinburne Technical College in 191",http://www.swin.edu.au/,https://www.timeshighereducation.com/world-university-rankings/swinburne-university-technology,24.5,28.9,66.5,41,79.3,42.4,https://upload.wikimedia.org/wikipedia/en/thumb/4/43/Swinburne_University_of_Technology_Coat_of_Arms.png/150px-Swinburne_University_of_Technology_Coat_of_Arms.png,Australia
University of Adelaide,"The University of Adelaide is a public research university based in Adelaide, South Australia. Established in 1874, it is the third-oldest university in Australia. Its main campus in the Adelaide city centre includes many sandstone buildings of histo",http://www.adelaide.edu.au/,https://www.timeshighereducation.com/world-university-rankings/university-adelaide,34.3,41.6,95.3,64.8,91.7,59.9,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/University-of-Adelaide-Crest.svg/150px-University-of-Adelaide-Crest.svg.png,Australia
