name,degrees,funds,location
Schaefer Halleen�s Social Equity Scholarship,"Master, Bachelor, Phd",$1000,united-states
President�s Scholarship for Ukraine,"Master, Bachelor, Phd, Course",$2500,united-states
International Students Diversity Contest 2022-2023,"Master, Bachelor, Phd, Course","Up to $2,000",united-states
Master in Business Administration 80% OFF your Tuition fee,Master,80% Tuition Fees,united-states
Improve Men�s Health Scholarship,"Master, Bachelor, Phd",$2000,united-states
3 Month F1 Visa Study English in USA Scholarship with Windsor University,Course,$1455,united-states
ArtUniverse,"Master, Course",Full or partial scholarship,united-states
American Indian Scholarships at Augsburg University,Bachelor,Partial tuition fees,united-states
International Contest for Students Support 2022-2023,"Master, Bachelor, Course","Up to $2,000 awards",united-states
Scholarships for Africa,"Master, Bachelor, Phd, Course",$100 to $3000,united-states
LAPTOP Scholarships - study Supply Chains,"Master, Bachelor, Phd, Course",up to $3000,united-states
Medicine: Fully Funded Swansea & HMRI PhD Scholarship: Ovarian Cancer Chemoresistance,Phd,Full cost of tuition fees and an annual stipend,united-states
New York University - September 11 Scholarships,"Master, Bachelor, Phd, Course",Pay any remaining balance.,united-states
TKS Full-Ride Scholarship,Course,"100% Tuition Fee [value of $6,000+]",united-states
Five scholarships of up to US$3000 for supply chain courses,"Master, Bachelor, Phd, Course",$3000,united-states
GREAT Scholarship for Bangladesh Students in UK,Master,"�10,000",united-kingdom
Diversity Scholarships for Africa and Latin American Students in UK,Master,50% scholarship,united-kingdom
Beth Mead Scholarships for International Students at Teesside University,"Bachelor, Master","�1,200",united-kingdom
Malaysia Scholarships at Nottingham Trent University,Master,"�4,000",united-kingdom
PhD Studentships in Predictive Uncertainty in Computer Vision for International Students in UK,Master,"�16,062 p.a., tuition fees + �2,000 research grant",united-kingdom
Strathclyde Business School MRes Scholarships in UK,Master,Tuition fees,united-kingdom
International Students Diversity Contest 2022-2023,"Master, Bachelor, Phd, Course","Up to $2,000",united-kingdom
Master in Business Administration 80% OFF your Tuition fee,Master,80% Tuition Fees,united-kingdom
3 Month F1 Visa Study English in USA Scholarship with Windsor University,Course,$1455,united-kingdom
ArtUniverse,"Master, Course",Full or partial scholarship,united-kingdom
Engineering: Fully Funded MSc by Research at Swansea: Functional Construction Materials,Master,Full cost of UK tuition fees and an annual stipend,united-kingdom
UEA Law School Country Specific Academic Excellence Scholarships in UK,Master,"�8,000 tuition fee reduction",united-kingdom
Saraswati Dalmia Scholarship at SOAS University of London,"Phd, Master","Up to �5,353",united-kingdom
The Professor Mike Walker OBE Scholarships for International Students in the UK,Master,"Up to �12,000 tuition fee reduction",united-kingdom
PhD Studentships in Electronic,Phd,,united-kingdom
International Students Diversity Contest 2022-2023,"Master, Bachelor, Phd, Course","Up to $2,000",canada
Master in Business Administration 80% OFF your Tuition fee,Master,80% Tuition Fees,canada
Improve Men�s Health Scholarship,"Master, Bachelor, Phd",$2000,canada
3 Month F1 Visa Study English in USA Scholarship with Windsor University,Course,$1455,canada
ArtUniverse,"Master, Course",Full or partial scholarship,canada
International Contest for Students Support 2022-2023,"Master, Bachelor, Course","Up to $2,000 awards",canada
Scholarships for Africa,"Master, Bachelor, Phd, Course",$100 to $3000,canada
LAPTOP Scholarships - study Supply Chains,"Master, Bachelor, Phd, Course",up to $3000,canada
TKS Full-Ride Scholarship,Course,"100% Tuition Fee [value of $6,000+]",canada
Five scholarships of up to US$3000 for supply chain courses,"Master, Bachelor, Phd, Course",$3000,canada
International No-Essay Support Competition Scholarships 2022-2023,"Master, Bachelor, Course","Up to $2,000",canada
THGM MUSE Scholarship,Bachelor,US$500 or C$630,canada
Master in Business Administration 80% OFF your Tuition fee - Scholarship,Master,80% off tuition fee,canada
International Students Support Contest 2022-2023,"Master, Bachelor, Course","Up to $2,000 awards",canada
Human Resource (HR) - Free Course From Windsor University's MBA,"Master, Course",100% free,canada
International Students Diversity Contest 2022-2023,"Master, Bachelor, Phd, Course","Up to $2,000",europe
Master in Business Administration 80% OFF your Tuition fee,Master,80% Tuition Fees,europe
3 Month F1 Visa Study English in USA Scholarship with Windsor University,Course,$1455,europe
ArtUniverse,"Master, Course",Full or partial scholarship,europe
